,year,fuel,seller_type_Individual,seller_type_Trustmark Dealer,transmission,owner,engine,max_power
202,0.927536231884058,1,1,0,1,2,-0.5193292453710243,-0.1360578181888513
2393,0.9492753623188406,1,1,0,1,1,-0.5233152246874927,-0.1360578181888513
2714,0.9347826086956522,1,1,0,1,1,-0.5213222350292585,-0.2761732508524805
1296,0.927536231884058,0,1,0,0,2,1.4756534025213675,2.8946079788614805
1932,0.9202898550724637,1,1,0,1,1,-0.5213222350292585,-0.1642500581614125
1661,0.9420289855072463,1,1,0,1,1,-1.3205110879811557,-1.6189696407455714
3797,0.8768115942028986,1,1,0,1,4,-0.9179271770178559,-0.6914449456483074
3935,0.9565217391304348,1,1,0,1,1,-0.9179271770178559,-0.6931364800466607
1183,0.855072463768116,1,1,0,1,3,-0.41967976245931643,-0.24741716608046818
7006,0.9202898550724637,0,0,0,1,1,1.4357936093566843,1.3637693483514057
8053,0.9057971014492754,1,0,0,1,1,0.07657466244098882,0.7322631729660343
7596,0.9565217391304348,0,1,0,0,1,3.058087191159289,4.786307281020337
6616,0.9492753623188406,1,1,0,1,1,-0.5213222350292585,-0.2753274836533037
2722,0.8768115942028986,0,1,0,0,2,3.058087191159289,4.69045366511363
6985,0.9492753623188406,1,1,0,1,1,-0.5292941936621951,-0.08249256224098481
5883,0.9492753623188406,0,1,0,1,1,-0.5193292453710243,-0.4123417699199512
6537,0.8985507246376812,0,0,0,1,2,-0.11873832406595863,-0.6660719296730021
2262,0.9202898550724637,0,1,0,1,1,-0.11873832406595863,-0.6632527056757462
5528,0.927536231884058,0,1,0,0,1,3.058087191159289,5.054133560759668
5058,0.9565217391304348,1,1,0,1,1,-0.9179271770178559,-0.6646623176743742
1395,0.927536231884058,1,0,0,1,1,-0.5213222350292585,-0.2753274836533037
716,0.8768115942028986,1,1,0,0,2,1.784566799547662,1.7020762280221404
358,0.9130434782608695,0,0,0,1,1,1.4357936093566843,1.3637693483514057
7934,0.9347826086956522,0,1,0,1,1,0.06860270380805218,0.2360797494489569
6910,0.8985507246376812,0,1,0,1,1,-0.41967976245931643,-0.24741716608046818
50,0.9347826086956522,0,0,0,1,1,0.07856765209922298,0.1974563806865479
2538,0.9565217391304348,1,1,0,1,1,-0.74254408709325,-0.6660719296730021
647,0.9637681159420289,1,0,0,0,1,2.049634424092805,3.4657827607055705
2241,0.8840579710144928,1,1,0,1,4,-0.6149927489662639,-0.4715454738623296
4396,0.9565217391304348,0,1,0,1,1,0.07856765209922298,0.20675981987749306
179,0.9347826086956522,1,1,0,1,1,-0.5213222350292585,-0.27138057005714505
2854,0.9057971014492754,0,1,0,1,2,-0.5173362557127902,-0.4997377138348908
1170,0.9420289855072463,1,1,0,1,1,-0.9179271770178559,-0.6931364800466607
791,0.9130434782608695,1,1,0,1,1,-1.3205110879811557,-1.5400313688224
7014,0.9130434782608695,1,1,0,1,2,-1.2846372741329408,-1.0269326013217857
6957,0.9347826086956522,0,1,0,1,2,1.4357936093566843,0.7999245489001813
6661,0.9130434782608695,1,1,0,1,1,-0.9179271770178559,-0.6914449456483074
6229,0.9347826086956522,1,1,0,1,1,-0.5213222350292585,-0.27138057005714505
7433,0.8913043478260869,1,1,0,1,2,-0.41967976245931643,-0.24741716608046818
4891,0.9347826086956522,0,1,0,1,1,1.4357936093566843,1.3637693483514057
3038,0.9492753623188406,0,1,0,1,1,0.07856765209922298,0.47909685801243473
94,0.8913043478260869,1,0,0,1,1,-0.9179271770178559,-0.6914449456483074
1329,0.9420289855072463,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
6430,0.9565217391304348,0,1,0,1,1,0.07856765209922298,0.47853301321298325
1431,0.9637681159420289,0,1,0,1,1,-0.1247172930406611,-0.08080102784263107
5965,0.8260869565217391,1,1,0,1,4,-1.3205110879811557,-1.5400313688224
3792,0.9492753623188406,0,1,0,1,1,0.06860270380805218,-0.6096874497278797
7537,0.8985507246376812,1,1,0,1,2,-0.5233152246874927,-0.6096874497278797
535,0.8985507246376812,1,1,0,1,1,-0.41967976245931643,-0.24741716608046818
2892,0.9492753623188406,0,1,0,1,2,0.004827034744559138,-0.19244229813397373
5621,0.9565217391304348,0,0,0,1,1,-0.41967976245931643,-0.4969184898376348
6937,0.9420289855072463,1,1,0,1,1,-0.5213222350292585,-0.23924141648842526
1064,0.9492753623188406,1,0,0,0,2,0.6684925909365337,1.3102040924035392
5774,0.9565217391304348,0,1,0,1,1,1.8622933962187942,1.5836688201373836
1210,0.8913043478260869,1,1,0,1,3,-0.41967976245931643,-0.24741716608046818
6834,0.9202898550724637,0,1,0,1,1,2.063585351700444,0.2360797494489569
109,0.8985507246376812,1,1,0,1,1,-0.5711469764851125,-0.7506486495906858
6764,0.927536231884058,1,1,0,1,2,-1.3205110879811557,-1.2496512971050195
5830,0.9347826086956522,1,1,0,1,1,-0.5213222350292585,-0.27138057005714505
4001,0.9347826086956522,0,1,0,1,1,-0.41967976245931643,0.002648002476149962
5856,0.927536231884058,0,1,0,1,1,1.0730694915580676,0.7999245489001813
3474,0.9565217391304348,0,1,0,1,2,-0.41967976245931643,-0.08813101023549713
134,0.9492753623188406,1,1,0,0,1,4.275803872340359,5.310682944509976
5138,0.9057971014492754,1,1,0,1,1,-0.9239061459925584,-0.8352253695083695
1206,0.9130434782608695,0,1,0,1,1,2.121382051789235,-0.8324061455111134
7843,0.9565217391304348,1,1,0,1,1,-0.5193292453710243,-0.27138057005714505
7916,0.927536231884058,0,1,0,1,4,-0.1247172930406611,-0.08164679504180794
6441,0.927536231884058,0,1,0,1,1,2.121382051789235,-0.8324061455111134
6758,0.9492753623188406,1,1,0,1,1,-0.9159341873596217,-0.6942641696455634
3620,0.9637681159420289,1,1,0,1,1,-0.5233152246874927,-0.525110729810196
3423,0.9637681159420289,0,0,0,0,1,1.0690835122415994,2.7733813469794666
6058,0.927536231884058,1,1,0,1,1,-0.9179271770178559,-0.6931364800466607
6871,0.9347826086956522,1,1,0,1,2,-0.5193292453710243,-0.6942641696455634
4351,0.9057971014492754,0,1,0,1,1,-0.11873832406595863,-0.6660719296730021
3249,0.9347826086956522,0,0,0,0,1,0.24597878339089221,0.9747164367300609
2182,0.9130434782608695,0,1,0,1,3,-0.41967976245931643,-0.4969184898376348
3862,0.9130434782608695,0,1,0,1,2,0.004827034744559138,-0.22063453810653497
7071,0.9637681159420289,0,1,0,1,1,2.0715573103333806,0.377040949311763
6965,0.9202898550724637,1,0,1,1,1,-0.9179271770178559,-0.6928545576469354
2581,0.9347826086956522,0,1,0,1,1,1.4357936093566843,1.3637693483514057
6228,0.9492753623188406,1,1,0,0,1,-0.5173362557127902,-0.08249256224098481
699,0.8985507246376812,0,1,0,1,2,-0.41967976245931643,-0.4687262498650736
2542,0.9130434782608695,0,1,0,1,2,-0.41967976245931643,-0.4969184898376348
2599,0.9202898550724637,0,1,0,1,1,-0.41967976245931643,-0.4151609939172071
2304,0.8768115942028986,0,1,0,1,4,-0.41967976245931643,-0.4687262498650736
1017,0.9637681159420289,1,1,0,1,1,0.2639156903149996,0.8365744608645108
7836,0.9202898550724637,0,1,0,1,2,-0.41967976245931643,-0.5025569378321472
170,0.9492753623188406,1,1,0,0,1,1.0172657811275112,8.693751741217323
96,0.9420289855072463,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
371,0.9637681159420289,1,0,0,0,1,2.049634424092805,3.4657827607055705
3349,0.927536231884058,0,0,0,1,1,-0.18849296210415414,-0.6931364800466607
2830,0.9202898550724637,0,0,0,1,1,-0.41967976245931643,-0.4969184898376348
1251,0.9057971014492754,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
2719,0.8695652173913043,1,1,0,1,1,-0.41967976245931643,-0.24741716608046818
840,0.8840579710144928,0,1,0,1,3,1.4357936093566843,0.7999245489001813
6128,0.8913043478260869,1,1,0,1,2,-0.792368828549104,-0.6942641696455634
1777,0.927536231884058,0,1,0,1,2,-0.41967976245931643,-0.49861002423598855
1187,0.8913043478260869,1,1,0,1,2,-0.9239061459925584,-0.8070331295358083
5941,0.9420289855072463,0,0,0,1,1,-0.1247172930406611,-0.08080102784263107
2615,0.8768115942028986,1,1,0,1,2,-0.9239061459925584,-0.8352253695083695
1032,0.9057971014492754,1,1,0,1,1,0.2798596075808729,0.3262949173611529
4608,0.9057971014492754,0,1,0,1,1,0.2778666179226387,0.3375718133501771
5050,0.9565217391304348,0,1,0,1,1,-0.41967976245931643,-0.08813101023549713
4707,0.9347826086956522,0,1,0,1,1,3.036164304918713,2.1672481875694003
7947,0.9202898550724637,0,0,0,1,1,0.06860270380805218,0.6144196098807285
5335,0.9347826086956522,0,1,0,1,2,-0.6747824387132886,-0.5814952097553185
7547,0.9202898550724637,1,1,0,1,2,-0.74254408709325,-0.8324061455111134
4677,0.9492753623188406,0,0,0,1,2,-0.5432451212698343,-0.4977642570368117
4558,0.9347826086956522,1,1,0,1,1,-0.5292941936621951,-0.08249256224098481
7110,0.927536231884058,0,1,0,1,2,-0.41967976245931643,-0.4969184898376348
6973,0.9637681159420289,0,0,0,0,1,1.0690835122415994,2.7733813469794666
6470,0.9057971014492754,0,1,0,1,1,-0.41967976245931643,-0.4687262498650736
2457,0.9057971014492754,1,0,0,1,1,-0.9239061459925584,-0.8324061455111134
5985,0.9202898550724637,0,1,0,0,1,3.058087191159289,4.042032145744721
5041,0.9637681159420289,0,1,0,1,1,2.0715573103333806,0.377040949311763
7609,0.9130434782608695,0,1,0,1,3,0.24597878339089221,0.978099505526768
5212,0.9202898550724637,0,1,0,1,1,-0.11873832406595863,-0.6632527056757462
7163,0.9492753623188406,0,1,0,1,1,1.4357936093566843,1.7545137943711047
3681,0.8478260869565217,1,1,0,1,1,-1.3205110879811557,-1.5400313688224
5265,0.8695652173913043,1,1,0,1,2,-0.32003027954760854,-0.1868038501394614
5669,0.9347826086956522,0,1,0,1,1,0.07856765209922298,0.20788750947639567
6335,0.9420289855072463,1,1,0,1,1,-0.5213222350292585,-0.23924141648842526
5865,0.9057971014492754,1,1,0,1,3,-0.32003027954760854,-0.1642500581614125
516,0.8985507246376812,0,1,0,1,2,-0.41967976245931643,-0.24741716608046818
794,0.8985507246376812,1,1,0,1,3,-1.3205110879811557,-1.2778435370775807
7692,0.9347826086956522,0,1,0,1,1,-0.6747824387132886,-0.5814952097553185
6166,0.9492753623188406,0,0,0,0,1,1.077055470874536,2.4068822273361707
4217,0.9492753623188406,0,0,0,0,1,1.077055470874536,2.4068822273361707
2898,0.8840579710144928,0,1,0,1,1,1.0750624812163019,-0.6660719296730021
1780,0.9057971014492754,0,1,0,1,2,-0.1247172930406611,-0.04584265027665531
4047,0.8768115942028986,0,1,0,1,2,-0.1247172930406611,-1.0748594092751398
3007,0.9420289855072463,0,1,0,1,1,-0.1247172930406611,-0.08164679504180794
4471,0.9565217391304348,0,1,0,1,2,-0.1247172930406611,-0.08164679504180794
6997,0.9492753623188406,0,1,0,1,1,-0.5193292453710243,-0.4123417699199512
2336,0.9130434782608695,0,1,0,1,2,-0.1247172930406611,-0.637879689700441
5833,0.9202898550724637,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
5466,0.8478260869565217,1,1,0,1,4,-1.3205110879811557,-1.5400313688224
6197,0.9057971014492754,0,1,0,1,2,2.121382051789235,-0.8070331295358083
4960,0.9057971014492754,1,1,0,1,1,-0.9179271770178559,-0.6914449456483074
6381,0.9057971014492754,0,1,0,1,4,-0.1247172930406611,-0.04584265027665531
1992,0.9492753623188406,1,0,0,1,1,-0.5213222350292585,-0.2770190180516574
5920,0.9130434782608695,0,1,0,1,3,-0.41967976245931643,-0.4997377138348908
1895,0.8623188405797102,0,1,0,1,3,0.06860270380805218,-0.27138057005714505
6996,0.9202898550724637,0,1,0,1,1,-0.41967976245931643,-0.4151609939172071
75,0.9347826086956522,0,1,0,1,2,3.036164304918713,2.1672481875694003
1490,0.9347826086956522,1,1,0,1,1,-0.74254408709325,-0.6646623176743742
2205,0.9565217391304348,1,1,0,1,1,-1.2846372741329408,-1.0269326013217857
5650,0.9202898550724637,0,1,0,1,2,-0.10678038611655369,-0.6375977673007152
2863,0.9565217391304348,1,1,0,1,1,-1.3205110879811557,-1.2496512971050195
5761,0.9202898550724637,0,1,0,1,1,-0.41967976245931643,-0.4151609939172071
5442,0.9130434782608695,0,1,0,1,1,-0.14066121030653436,-0.6942641696455634
3004,0.8985507246376812,0,1,0,1,1,-0.41967976245931643,-0.4997377138348908
5323,0.8913043478260869,0,1,0,1,3,2.063585351700444,0.29246422939407934
4419,0.9420289855072463,1,0,1,0,1,2.063585351700444,1.862771995865739
6103,0.9057971014492754,0,1,0,0,2,1.3640459816602546,2.142439016393547
7893,0.9057971014492754,1,1,0,0,2,0.2778666179226387,0.3375718133501771
7427,0.9420289855072463,0,1,0,1,1,2.0735502999916147,-0.5420260737937326
1448,0.9565217391304348,1,1,0,1,1,-0.5213222350292585,-0.2761732508524805
32,0.9130434782608695,1,1,0,1,2,-1.3205110879811557,-1.5964158487675224
3002,0.9637681159420289,1,1,0,1,1,-1.3145321190064532,-1.0804978572696522
3663,0.9492753623188406,0,1,0,1,1,-0.1247172930406611,-0.08164679504180794
6968,0.9202898550724637,0,0,1,1,2,2.063585351700444,0.2529950934324935
171,0.9057971014492754,0,1,0,1,2,0.2778666179226387,0.3375718133501771
7891,0.927536231884058,0,1,0,1,3,-0.18849296210415414,-0.6925726352472097
6340,0.9565217391304348,0,1,0,1,2,0.07856765209922298,0.20675981987749306
6960,0.9637681159420289,1,0,0,0,1,2.049634424092805,3.4657827607055705
6426,0.8913043478260869,0,1,0,1,1,-0.10678038611655369,-0.5814952097553185
2919,0.9347826086956522,0,1,0,0,2,1.4357936093566843,1.3637693483514057
6171,0.9420289855072463,1,0,1,0,1,2.063585351700444,1.862771995865739
1110,0.9637681159420289,0,0,0,0,1,1.0690835122415994,2.7733813469794666
5894,0.8623188405797102,1,1,0,1,2,0.6684925909365337,0.9408857487629874
6297,0.9420289855072463,0,0,0,1,1,1.8622933962187942,1.5754930705453403
7193,0.9202898550724637,1,1,0,1,2,-1.2846372741329408,-1.0269326013217857
3501,0.9057971014492754,1,1,0,1,1,-0.9239061459925584,-0.8352253695083695
5237,0.8695652173913043,1,1,0,1,3,1.784566799547662,1.4765383082416506
4127,0.9347826086956522,0,1,0,1,1,0.24597878339089221,0.9747164367300609
3169,0.9420289855072463,0,0,0,1,1,2.984346573804625,-0.22063453810653497
27,0.9202898550724637,0,1,0,1,1,-0.41967976245931643,-0.5025569378321472
7901,0.9492753623188406,0,1,0,1,2,0.24597878339089221,0.9747164367300609
8064,0.9347826086956522,1,0,0,1,1,0.07657466244098882,0.723805500974266
2249,0.9202898550724637,0,1,0,1,2,2.121382051789235,-0.8324061455111134
1322,0.855072463768116,1,1,0,1,2,-0.41967976245931643,-0.24741716608046818
1752,0.9492753623188406,0,1,0,1,1,1.4357936093566843,1.3637693483514057
1715,0.9202898550724637,1,0,1,1,1,-0.9179271770178559,-0.6928545576469354
1984,0.9710144927536232,0,0,0,0,1,0.24597878339089221,0.9747164367300609
505,0.9130434782608695,0,1,0,1,2,-1.0414925358283738,-0.9592712253876388
8001,0.9057971014492754,1,1,0,1,2,-0.14066121030653436,-0.6660719296730021
442,0.9420289855072463,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
7990,0.927536231884058,0,1,0,1,2,-0.1247172930406611,-0.6375977673007152
5843,0.927536231884058,1,0,0,0,1,-0.5213222350292585,0.3277045293597809
7079,0.9130434782608695,0,1,0,1,2,0.004827034744559138,-0.38414952994738993
4733,0.9492753623188406,1,0,0,1,1,-1.3145321190064532,-1.0709124956789813
4006,0.8913043478260869,1,1,0,1,1,-1.3205110879811557,-1.2778435370775807
1462,0.9057971014492754,0,1,0,1,2,-0.41967976245931643,-0.4997377138348908
2567,0.9057971014492754,1,1,0,1,2,-0.9179271770178559,-0.6914449456483074
3551,0.8840579710144928,1,1,0,1,2,0.07657466244098882,-0.38414952994738993
5819,0.9347826086956522,1,1,0,1,1,-0.74254408709325,-0.6646623176743742
4837,0.9057971014492754,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
8084,0.9492753623188406,1,1,0,1,1,-0.5213222350292585,-0.2753274836533037
3794,0.8695652173913043,0,1,0,1,1,2.0735502999916147,-0.3277650500022675
5568,0.9492753623188406,0,1,0,1,1,-0.1247172930406611,-0.08164679504180794
2454,0.9420289855072463,1,0,0,1,1,-1.3205110879811557,-1.6189696407455714
3654,0.9420289855072463,0,1,0,1,1,0.06860270380805218,0.2360797494489569
7743,0.8913043478260869,1,1,0,1,2,0.25395074202382883,0.3680194325205436
1619,0.927536231884058,1,1,0,1,1,-0.9179271770178559,-0.6925726352472097
5258,0.9492753623188406,0,0,0,0,1,3.046129253209884,4.599956574801708
7103,0.927536231884058,1,1,0,1,3,-0.17055605518004674,0.05846863762182129
539,0.8840579710144928,0,1,0,1,3,-0.41967976245931643,-0.24741716608046818
1175,0.9492753623188406,1,1,0,1,1,-0.5233152246874927,-0.1360578181888513
590,0.9492753623188406,0,0,0,1,1,0.07856765209922298,0.47909685801243473
7712,0.9492753623188406,0,0,0,1,1,1.4357936093566843,1.5876157337335417
6290,0.9492753623188406,1,0,0,1,1,-0.5193292453710243,-0.6928545576469354
1677,0.9565217391304348,1,1,0,0,1,0.07458167278275465,0.3911370692980436
2146,0.9130434782608695,0,1,0,1,2,-0.41967976245931643,-0.4969184898376348
6918,0.8478260869565217,1,1,0,1,3,0.2758736282644046,0.010541829668467135
3372,0.9420289855072463,1,1,0,1,1,-0.5173362557127902,-0.2601036740681204
496,0.9202898550724637,0,1,0,1,1,-0.18849296210415414,-0.6925726352472097
5266,0.927536231884058,0,1,0,1,1,1.4357936093566843,1.3637693483514057
3597,0.9130434782608695,0,1,0,1,1,-0.41967976245931643,-0.24741716608046818
7018,0.9057971014492754,0,0,0,1,2,-0.11873832406595863,-0.6660719296730021
1311,0.9130434782608695,0,1,0,1,2,-0.11873832406595863,-0.6660719296730021
6107,0.9637681159420289,0,1,0,1,1,0.07657466244098882,0.6589633490373752
2971,0.927536231884058,1,1,0,1,1,-0.5213222350292585,-0.2753274836533037
857,0.9492753623188406,1,1,0,1,1,-0.9159341873596217,-0.6942641696455634
7921,0.9492753623188406,1,1,0,0,1,-0.5213222350292585,-0.2403691060873279
3338,0.9492753623188406,1,1,0,1,1,-0.5213222350292585,-0.2761732508524805
2126,0.9057971014492754,0,0,0,1,1,1.4357936093566843,1.3637693483514057
7519,0.9637681159420289,0,1,0,1,1,0.004827034744559138,0.47571378921572727
6719,0.9492753623188406,0,1,0,1,2,-0.41967976245931643,-0.5042484722305008
401,0.9130434782608695,0,1,0,1,2,-0.10678038611655369,-0.6096874497278797
5021,0.9565217391304348,1,1,0,1,1,-0.9179271770178559,-0.6931364800466607
4808,0.9565217391304348,0,1,0,1,1,-0.1247172930406611,-0.08080102784263107
406,0.9202898550724637,1,1,0,1,2,-1.2846372741329408,-1.0269326013217857
4214,0.8405797101449275,0,1,0,1,1,2.984346573804625,-0.2403691060873279
5368,0.8985507246376812,0,1,0,1,2,0.06860270380805218,0.5180021491745691
2153,0.9347826086956522,1,1,0,1,1,-0.5173362557127902,-0.4179802179144635
7009,0.927536231884058,1,1,0,1,1,-0.5213222350292585,-0.3587765139720847
5728,0.9565217391304348,0,1,0,1,1,0.07856765209922298,-0.10222713022177775
5908,0.927536231884058,1,1,0,1,1,-0.5213222350292585,-0.1642500581614125
6038,0.9202898550724637,1,1,0,1,1,-0.5173362557127902,-0.3446803939858041
4739,0.9492753623188406,0,0,0,0,1,2.5837556524995593,2.251824907487084
578,0.9130434782608695,0,1,0,1,2,0.004827034744559138,0.4743041772170993
6016,0.9057971014492754,1,0,0,1,1,-0.5213222350292585,-0.3587765139720847
1355,0.927536231884058,1,1,0,1,1,-0.74254408709325,-0.8324061455111134
2441,0.8985507246376812,1,1,0,1,2,-0.5213222350292585,-0.3277650500022675
8058,0.9492753623188406,1,0,0,0,1,0.6764645495694703,2.4209783473224515
540,0.9347826086956522,1,1,0,1,1,-0.5292941936621951,-0.08249256224098481
5110,0.927536231884058,0,1,0,1,1,1.4357936093566843,1.3637693483514057
2784,0.8840579710144928,1,1,0,1,2,-1.3205110879811557,-1.5400313688224
1546,0.9057971014492754,1,1,0,1,1,-0.5213222350292585,-0.1642500581614125
2931,0.927536231884058,0,1,0,1,1,2.121382051789235,-0.8324061455111134
3452,0.9347826086956522,0,1,0,1,2,0.07856765209922298,0.20788750947639567
